Nome Torneo: Primavera 2
Luogo: online
Date: Sabato 21 marzo 2026 - Martedì 30 giugno 2026
Federazione Organizzante: ITA
Arbitro Capo: Gabriele Battaglia
Vice Arbitri: ASCID, Volontari
Controllo Tempo: Standard 40+20
Sistema di Abbinamento: Svizzero Olandese (via bbpPairings)
Data Report: Giovedì 23 aprile 2026 07:55:03
--------------------------------------------------------------------------------
Classifica Parziale - Durante Turno 3
--------------------------------------------------------------------------------
Pos. (Tab)   Titolo Nome Cognome               [EloIni] Punti  Bucch-1  Bucch    ARO 
-------------------------------------------------------------------------------------
  1 (+1)        Caputi, Giuliano            [1767]   3.0    4.00   5.00 1502


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
  2 (+1)    2N  Vandelli, Jiazhuang         [1693]   3.0    4.00   4.00 1454


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
  3 (+9)    NC  Ventura, Luigi              [1461]   2.0    4.00   5.00 1487


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
  4 (+13)   NC  Bernoni, Luca               [1399]   2.0    4.00   4.00 1556


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
  5 (+3)        Rivalta, Paolo              [1503]   2.0    4.00   4.00 1485


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
  6 (-1)        Zenini, Simone              [1620]   2.0    4.00   4.00 1055


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
  7 (+3)    3N  Battaglia, Gabriele         [1498]   2.0    3.00   4.00 1076


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
  8 (-7)    1N  Gasperoni, Claudio          [1844]   2.0    2.00   2.00 1456


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
  9 (+5)        De Fazio, Monica            [1443]   2.0    2.00   2.00 1381


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 10 (+14)   NC  Calzolari, Valeria          [1385]   2.0    1.00   2.00 1528


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 11 (-7)        Poli, Diego                 [1670]   2.0    1.00   2.00  722


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 12 (+1)    NC  Baratta, Giuseppe           [1450]   1.5    1.50   2.00 1292


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 13 (+15)   NC  Brites Pereira Lima, Catia  [1365]   1.5    1.50   1.50 1505


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 14 (+5)        Delmonte, Davide            [   0]   1.0    4.00   4.50 1518


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 15 (+10)   NC  Mereu, Alessia              [1385]   1.0    4.00   4.00 1458


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 16 (+11)   NC  Paglia, Giulia              [1382]   1.0    4.00   4.00 1434


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 17 (-8)    3N  Trapletti, Cosetta          [1501]   1.0    4.00   4.00 1394


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 18 (-7)    NC  Ionata, Lorenzo             [1488]   1.0    3.00   3.50 1576


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 19 (+10)   NC  Testori, Alessandra         [1362]   1.0    2.00   4.00 1473


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 20 (-5)        Maccaferri, Massimo         [1443]   1.0    2.00   2.50 1512


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 21 (+0)        Demaio, Joshua              [   0]   1.0    2.00   2.00 1590


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
	using BBP Pairings, a Swiss-system chess tournament engine created by Bierema Boyz Programming.) - Gabriele Battaglia & AI
 22 (-15)   3N  Colangelo, Michele          [1555]   1.0    2.00   2.00 1392


Tornello (8.10.9, 2026.04.22 by Gabriele Battaglia & Stella GeminiPro3.1
